gendistrict,hood,category,count
INGLESIDE,Glen Park,LOITERING,1
INGLESIDE,Glen Park,MISSING PERSON,22
INGLESIDE,Glen Park,NON-CRIMINAL,79
INGLESIDE,Glen Park,OTHER OFFENSES,88
INGLESIDE,Glen Park,RECOVERED VEHICLE,2
INGLESIDE,Glen Park,ROBBERY,3
INGLESIDE,Glen Park,SECONDARY CODES,7
INGLESIDE,Glen Park,"SEX OFFENSES, FORCIBLE",4
INGLESIDE,Glen Park,SUSPICIOUS OCC,21
INGLESIDE,Glen Park,TRESPASS,4
INGLESIDE,Glen Park,VANDALISM,31
INGLESIDE,Glen Park,VEHICLE THEFT,57
INGLESIDE,Glen Park,WARRANTS,6
INGLESIDE,Glen Park,WEAPON LAWS,1
INGLESIDE,Mission,BURGLARY,1
INGLESIDE,Mission,DRUG/NARCOTIC,2
INGLESIDE,Mission,OTHER OFFENSES,2
INGLESIDE,Mission,STOLEN PROPERTY,1
INGLESIDE,Mission,WARRANTS,1
INGLESIDE,Noe Valley,ASSAULT,18
INGLESIDE,Noe Valley,BRIBERY,1
INGLESIDE,Noe Valley,BURGLARY,38
INGLESIDE,Noe Valley,DRIVING UNDER THE INFLUENCE,1
INGLESIDE,Noe Valley,DRUG/NARCOTIC,2
INGLESIDE,Noe Valley,FORGERY/COUNTERFEITING,2
INGLESIDE,Noe Valley,FRAUD,7
INGLESIDE,Noe Valley,KIDNAPPING,1
INGLESIDE,Noe Valley,LARCENY/THEFT,102
INGLESIDE,Noe Valley,MISSING PERSON,6
INGLESIDE,Noe Valley,NON-CRIMINAL,44
INGLESIDE,Noe Valley,OTHER OFFENSES,37
INGLESIDE,Noe Valley,RECOVERED VEHICLE,2
INGLESIDE,Noe Valley,ROBBERY,5
INGLESIDE,Noe Valley,SECONDARY CODES,3
INGLESIDE,Noe Valley,SUICIDE,1
INGLESIDE,Noe Valley,SUSPICIOUS OCC,16
INGLESIDE,Noe Valley,TRESPASS,2
INGLESIDE,Noe Valley,VANDALISM,24
INGLESIDE,Noe Valley,VEHICLE THEFT,61
INGLESIDE,Noe Valley,WARRANTS,3
INGLESIDE,Noe Valley,WEAPON LAWS,2
INGLESIDE,Ocean View,ASSAULT,2
INGLESIDE,Ocean View,DRUG/NARCOTIC,2
INGLESIDE,Ocean View,LARCENY/THEFT,8
INGLESIDE,Ocean View,NON-CRIMINAL,5
INGLESIDE,Ocean View,OTHER OFFENSES,6
INGLESIDE,Ocean View,ROBBERY,2
INGLESIDE,Ocean View,"SEX OFFENSES, FORCIBLE",2
INGLESIDE,Ocean View,STOLEN PROPERTY,1
INGLESIDE,Ocean View,SUSPICIOUS OCC,2
INGLESIDE,Ocean View,VANDALISM,4
INGLESIDE,Ocean View,VEHICLE THEFT,6
INGLESIDE,Ocean View,WARRANTS,3
INGLESIDE,Ocean View,WEAPON LAWS,1
INGLESIDE,Outer Mission,ARSON,6
INGLESIDE,Outer Mission,ASSAULT,373
INGLESIDE,Outer Mission,BAD CHECKS,1
INGLESIDE,Outer Mission,BRIBERY,2
INGLESIDE,Outer Mission,BURGLARY,80
INGLESIDE,Outer Mission,DISORDERLY CONDUCT,3
INGLESIDE,Outer Mission,DRIVING UNDER THE INFLUENCE,7
INGLESIDE,Outer Mission,DRUG/NARCOTIC,45
INGLESIDE,Outer Mission,DRUNKENNESS,4
INGLESIDE,Outer Mission,EMBEZZLEMENT,1
INGLESIDE,Outer Mission,EXTORTION,2
INGLESIDE,Outer Mission,FORGERY/COUNTERFEITING,16
INGLESIDE,Outer Mission,FRAUD,31
INGLESIDE,Outer Mission,GAMBLING,3
INGLESIDE,Outer Mission,KIDNAPPING,8
INGLESIDE,Outer Mission,LARCENY/THEFT,398
INGLESIDE,Outer Mission,LIQUOR LAWS,2
INGLESIDE,Outer Mission,LOITERING,1
INGLESIDE,Outer Mission,MISSING PERSON,113
INGLESIDE,Outer Mission,NON-CRIMINAL,315
INGLESIDE,Outer Mission,OTHER OFFENSES,536
INGLESIDE,Outer Mission,PORNOGRAPHY/OBSCENE MAT,1
INGLESIDE,Outer Mission,RECOVERED VEHICLE,14
INGLESIDE,Outer Mission,ROBBERY,79
INGLESIDE,Outer Mission,RUNAWAY,2
INGLESIDE,Outer Mission,SECONDARY CODES,49
INGLESIDE,Outer Mission,"SEX OFFENSES, FORCIBLE",22
INGLESIDE,Outer Mission,"SEX OFFENSES, NON FORCIBLE",2
INGLESIDE,Outer Mission,STOLEN PROPERTY,12
INGLESIDE,Outer Mission,SUICIDE,6
INGLESIDE,Outer Mission,SUSPICIOUS OCC,128
INGLESIDE,Outer Mission,TRESPASS,15
INGLESIDE,Outer Mission,VANDALISM,156
INGLESIDE,Outer Mission,VEHICLE THEFT,189
INGLESIDE,Outer Mission,WARRANTS,76
INGLESIDE,Outer Mission,WEAPON LAWS,37
INGLESIDE,Twin Peaks,BURGLARY,1
INGLESIDE,Twin Peaks,FORGERY/COUNTERFEITING,1
INGLESIDE,Twin Peaks,LARCENY/THEFT,8
INGLESIDE,Twin Peaks,MISSING PERSON,2
INGLESIDE,Twin Peaks,NON-CRIMINAL,5
INGLESIDE,Twin Peaks,OTHER OFFENSES,6
INGLESIDE,Visitacion Valley,ARSON,6
INGLESIDE,Visitacion Valley,ASSAULT,332
INGLESIDE,Visitacion Valley,BRIBERY,1
INGLESIDE,Visitacion Valley,BURGLARY,53
INGLESIDE,Visitacion Valley,DISORDERLY CONDUCT,3
INGLESIDE,Visitacion Valley,DRIVING UNDER THE INFLUENCE,7
INGLESIDE,Visitacion Valley,DRUG/NARCOTIC,38
INGLESIDE,Visitacion Valley,DRUNKENNESS,3
INGLESIDE,Visitacion Valley,EXTORTION,1
INGLESIDE,Visitacion Valley,FAMILY OFFENSES,4
INGLESIDE,Visitacion Valley,FORGERY/COUNTERFEITING,2
INGLESIDE,Visitacion Valley,FRAUD,19
INGLESIDE,Visitacion Valley,KIDNAPPING,11
INGLESIDE,Visitacion Valley,LARCENY/THEFT,163
INGLESIDE,Visitacion Valley,LIQUOR LAWS,1
INGLESIDE,Visitacion Valley,LOITERING,1
INGLESIDE,Visitacion Valley,MISSING PERSON,66
INGLESIDE,Visitacion Valley,NON-CRIMINAL,203
INGLESIDE,Visitacion Valley,OTHER OFFENSES,251
INGLESIDE,Visitacion Valley,PROSTITUTION,8
INGLESIDE,Visitacion Valley,RECOVERED VEHICLE,23
INGLESIDE,Visitacion Valley,ROBBERY,49
INGLESIDE,Visitacion Valley,RUNAWAY,4
INGLESIDE,Visitacion Valley,SECONDARY CODES,66
INGLESIDE,Visitacion Valley,"SEX OFFENSES, FORCIBLE",15
INGLESIDE,Visitacion Valley,STOLEN PROPERTY,7
INGLESIDE,Visitacion Valley,SUICIDE,3
INGLESIDE,Visitacion Valley,SUSPICIOUS OCC,92
INGLESIDE,Visitacion Valley,TRESPASS,8
INGLESIDE,Visitacion Valley,VANDALISM,172
INGLESIDE,Visitacion Valley,VEHICLE THEFT,103
INGLESIDE,Visitacion Valley,WARRANTS,65
INGLESIDE,Visitacion Valley,WEAPON LAWS,43
INGLESIDE,West of Twin Peaks,ASSAULT,31
INGLESIDE,West of Twin Peaks,BURGLARY,53
INGLESIDE,West of Twin Peaks,DRIVING UNDER THE INFLUENCE,1
INGLESIDE,West of Twin Peaks,DRUG/NARCOTIC,2
INGLESIDE,West of Twin Peaks,DRUNKENNESS,1
INGLESIDE,West of Twin Peaks,FAMILY OFFENSES,1
INGLESIDE,West of Twin Peaks,FORGERY/COUNTERFEITING,1
INGLESIDE,West of Twin Peaks,FRAUD,18
INGLESIDE,West of Twin Peaks,KIDNAPPING,1
INGLESIDE,West of Twin Peaks,LARCENY/THEFT,106
INGLESIDE,West of Twin Peaks,LIQUOR LAWS,1
INGLESIDE,West of Twin Peaks,MISSING PERSON,3
INGLESIDE,West of Twin Peaks,NON-CRIMINAL,41
INGLESIDE,West of Twin Peaks,OTHER OFFENSES,74
INGLESIDE,West of Twin Peaks,RECOVERED VEHICLE,5
INGLESIDE,West of Twin Peaks,ROBBERY,1
INGLESIDE,West of Twin Peaks,SECONDARY CODES,3
INGLESIDE,West of Twin Peaks,"SEX OFFENSES, FORCIBLE",3
INGLESIDE,West of Twin Peaks,STOLEN PROPERTY,2
INGLESIDE,West of Twin Peaks,SUICIDE,1
INGLESIDE,West of Twin Peaks,SUSPICIOUS OCC,20
INGLESIDE,West of Twin Peaks,TRESPASS,9
INGLESIDE,West of Twin Peaks,VANDALISM,16
INGLESIDE,West of Twin Peaks,VEHICLE THEFT,34
INGLESIDE,West of Twin Peaks,WARRANTS,4
INGLESIDE,West of Twin Peaks,WEAPON LAWS,6
MISSION,Bernal Heights,ASSAULT,33
MISSION,Bernal Heights,BURGLARY,7
MISSION,Bernal Heights,DISORDERLY CONDUCT,1
MISSION,Bernal Heights,DRIVING UNDER THE INFLUENCE,2
MISSION,Bernal Heights,DRUG/NARCOTIC,3
MISSION,Bernal Heights,DRUNKENNESS,1
MISSION,Bernal Heights,FRAUD,3
MISSION,Bernal Heights,KIDNAPPING,1
MISSION,Bernal Heights,LARCENY/THEFT,16
MISSION,Bernal Heights,LOITERING,1
MISSION,Bernal Heights,MISSING PERSON,31
MISSION,Bernal Heights,NON-CRIMINAL,47
MISSION,Bernal Heights,OTHER OFFENSES,39
MISSION,Bernal Heights,ROBBERY,3
MISSION,Bernal Heights,SECONDARY CODES,2
MISSION,Bernal Heights,"SEX OFFENSES, FORCIBLE",1
MISSION,Bernal Heights,SUSPICIOUS OCC,8
MISSION,Bernal Heights,TRESPASS,6
MISSION,Bernal Heights,VANDALISM,12
MISSION,Bernal Heights,VEHICLE THEFT,14
MISSION,Bernal Heights,WARRANTS,6
MISSION,Bernal Heights,WEAPON LAWS,2
MISSION,Castro/Upper Market,ARSON,5
MISSION,Castro/Upper Market,ASSAULT,353
MISSION,Castro/Upper Market,BRIBERY,1
MISSION,Castro/Upper Market,BURGLARY,156
MISSION,Castro/Upper Market,DISORDERLY CONDUCT,14
MISSION,Castro/Upper Market,DRIVING UNDER THE INFLUENCE,4
MISSION,Castro/Upper Market,DRUG/NARCOTIC,89
MISSION,Castro/Upper Market,DRUNKENNESS,19
MISSION,Castro/Upper Market,EMBEZZLEMENT,4
MISSION,Castro/Upper Market,FAMILY OFFENSES,1
MISSION,Castro/Upper Market,FORGERY/COUNTERFEITING,11
MISSION,Castro/Upper Market,FRAUD,68
MISSION,Castro/Upper Market,KIDNAPPING,4
MISSION,Castro/Upper Market,LARCENY/THEFT,704
MISSION,Castro/Upper Market,LIQUOR LAWS,1
MISSION,Castro/Upper Market,MISSING PERSON,43
MISSION,Castro/Upper Market,NON-CRIMINAL,466
MISSION,Castro/Upper Market,OTHER OFFENSES,352
MISSION,Castro/Upper Market,PROSTITUTION,1
MISSION,Castro/Upper Market,RECOVERED VEHICLE,11
MISSION,Castro/Upper Market,ROBBERY,88
MISSION,Castro/Upper Market,SECONDARY CODES,37
MISSION,Castro/Upper Market,"SEX OFFENSES, FORCIBLE",18
MISSION,Castro/Upper Market,STOLEN PROPERTY,16
MISSION,Castro/Upper Market,SUSPICIOUS OCC,153
MISSION,Castro/Upper Market,TRESPASS,54
MISSION,Castro/Upper Market,VANDALISM,199
MISSION,Castro/Upper Market,VEHICLE THEFT,161
MISSION,Castro/Upper Market,WARRANTS,169
MISSION,Castro/Upper Market,WEAPON LAWS,35
MISSION,Diamond Heights,ASSAULT,3
MISSION,Diamond Heights,LARCENY/THEFT,3
MISSION,Diamond Heights,NON-CRIMINAL,2
MISSION,Diamond Heights,OTHER OFFENSES,4
MISSION,Diamond Heights,"SEX OFFENSES, FORCIBLE",1
MISSION,Diamond Heights,VANDALISM,3
MISSION,Diamond Heights,VEHICLE THEFT,1
MISSION,Inner Sunset,VANDALISM,1
MISSION,Mission,ARSON,41
MISSION,Mission,ASSAULT,1631
MISSION,Mission,BAD CHECKS,2
MISSION,Mission,BRIBERY,9
MISSION,Mission,BURGLARY,524
MISSION,Mission,DISORDERLY CONDUCT,145
MISSION,Mission,DRIVING UNDER THE INFLUENCE,51
MISSION,Mission,DRUG/NARCOTIC,537
MISSION,Mission,DRUNKENNESS,80
MISSION,Mission,EMBEZZLEMENT,20
MISSION,Mission,EXTORTION,7
MISSION,Mission,FAMILY OFFENSES,13
MISSION,Mission,FORGERY/COUNTERFEITING,72
MISSION,Mission,FRAUD,219
MISSION,Mission,GAMBLING,2
MISSION,Mission,KIDNAPPING,29
MISSION,Mission,LARCENY/THEFT,2391
MISSION,Mission,LIQUOR LAWS,27
MISSION,Mission,LOITERING,5
MISSION,Mission,MISSING PERSON,442
MISSION,Mission,NON-CRIMINAL,1627
MISSION,Mission,OTHER OFFENSES,2446
MISSION,Mission,PROSTITUTION,86
MISSION,Mission,RECOVERED VEHICLE,46
MISSION,Mission,ROBBERY,438
MISSION,Mission,RUNAWAY,5
MISSION,Mission,SECONDARY CODES,174
MISSION,Mission,"SEX OFFENSES, FORCIBLE",153
MISSION,Mission,"SEX OFFENSES, NON FORCIBLE",3
MISSION,Mission,STOLEN PROPERTY,86
MISSION,Mission,SUICIDE,2
MISSION,Mission,SUSPICIOUS OCC,738
MISSION,Mission,TRESPASS,335
MISSION,Mission,VANDALISM,826
MISSION,Mission,VEHICLE THEFT,649
MISSION,Mission,WARRANTS,877
MISSION,Mission,WEAPON LAWS,231
MISSION,Noe Valley,ASSAULT,71
MISSION,Noe Valley,BURGLARY,98
MISSION,Noe Valley,DRIVING UNDER THE INFLUENCE,4
MISSION,Noe Valley,DRUG/NARCOTIC,7
MISSION,Noe Valley,FORGERY/COUNTERFEITING,1
MISSION,Noe Valley,FRAUD,22
MISSION,Noe Valley,KIDNAPPING,1
MISSION,Noe Valley,LARCENY/THEFT,181
MISSION,Noe Valley,LIQUOR LAWS,2
MISSION,Noe Valley,MISSING PERSON,15
MISSION,Noe Valley,NON-CRIMINAL,100
MISSION,Noe Valley,OTHER OFFENSES,127
MISSION,Noe Valley,RECOVERED VEHICLE,4
MISSION,Noe Valley,ROBBERY,14
MISSION,Noe Valley,SECONDARY CODES,14
MISSION,Noe Valley,"SEX OFFENSES, FORCIBLE",5
MISSION,Noe Valley,STOLEN PROPERTY,2
MISSION,Noe Valley,SUICIDE,1
MISSION,Noe Valley,SUSPICIOUS OCC,41
MISSION,Noe Valley,TRESPASS,6
MISSION,Noe Valley,VANDALISM,41
MISSION,Noe Valley,VEHICLE THEFT,98
MISSION,Noe Valley,WARRANTS,13
MISSION,Noe Valley,WEAPON LAWS,10
MISSION,South of Market,ASSAULT,14
MISSION,South of Market,BURGLARY,1
MISSION,South of Market,DISORDERLY CONDUCT,10
MISSION,South of Market,DRUG/NARCOTIC,2
MISSION,South of Market,DRUNKENNESS,1
MISSION,South of Market,LARCENY/THEFT,20
MISSION,South of Market,NON-CRIMINAL,4
MISSION,South of Market,OTHER OFFENSES,10
MISSION,South of Market,ROBBERY,3
MISSION,South of Market,SUSPICIOUS OCC,3
MISSION,South of Market,TRESPASS,11
MISSION,South of Market,VANDALISM,6
MISSION,South of Market,VEHICLE THEFT,6
MISSION,South of Market,WARRANTS,3
MISSION,Twin Peaks,ASSAULT,1
MISSION,Twin Peaks,BURGLARY,3
MISSION,Twin Peaks,FRAUD,2
MISSION,Twin Peaks,LARCENY/THEFT,4
MISSION,Twin Peaks,NON-CRIMINAL,4
MISSION,Twin Peaks,OTHER OFFENSES,3
MISSION,Twin Peaks,"SEX OFFENSES, FORCIBLE",1
MISSION,Twin Peaks,VANDALISM,3
MISSION,Twin Peaks,VEHICLE THEFT,2
NORTHERN,Castro/Upper Market,ARSON,1
NORTHERN,Castro/Upper Market,ASSAULT,15
NORTHERN,Castro/Upper Market,BURGLARY,16
NORTHERN,Castro/Upper Market,DRUG/NARCOTIC,4
NORTHERN,Castro/Upper Market,FRAUD,3
NORTHERN,Castro/Upper Market,LARCENY/THEFT,33
NORTHERN,Castro/Upper Market,LIQUOR LAWS,3
NORTHERN,Castro/Upper Market,MISSING PERSON,49
NORTHERN,Castro/Upper Market,NON-CRIMINAL,28
NORTHERN,Castro/Upper Market,OTHER OFFENSES,17
NORTHERN,Castro/Upper Market,ROBBERY,2
NORTHERN,Castro/Upper Market,SECONDARY CODES,2
NORTHERN,Castro/Upper Market,"SEX OFFENSES, FORCIBLE",1
NORTHERN,Castro/Upper Market,STOLEN PROPERTY,2
NORTHERN,Castro/Upper Market,SUSPICIOUS OCC,11
NORTHERN,Castro/Upper Market,TRESPASS,4
NORTHERN,Castro/Upper Market,VANDALISM,15
NORTHERN,Castro/Upper Market,VEHICLE THEFT,13
NORTHERN,Castro/Upper Market,WARRANTS,6
NORTHERN,Castro/Upper Market,WEAPON LAWS,4
NORTHERN,Downtown/Civic Center,ARSON,9
NORTHERN,Downtown/Civic Center,ASSAULT,585
NORTHERN,Downtown/Civic Center,BAD CHECKS,1
NORTHERN,Downtown/Civic Center,BURGLARY,136
NORTHERN,Downtown/Civic Center,DISORDERLY CONDUCT,61
NORTHERN,Downtown/Civic Center,DRIVING UNDER THE INFLUENCE,10
NORTHERN,Downtown/Civic Center,DRUG/NARCOTIC,301
NORTHERN,Downtown/Civic Center,DRUNKENNESS,14
NORTHERN,Downtown/Civic Center,EMBEZZLEMENT,2
NORTHERN,Downtown/Civic Center,FAMILY OFFENSES,1
NORTHERN,Downtown/Civic Center,FORGERY/COUNTERFEITING,24
NORTHERN,Downtown/Civic Center,FRAUD,85
NORTHERN,Downtown/Civic Center,KIDNAPPING,8
NORTHERN,Downtown/Civic Center,LARCENY/THEFT,1739
NORTHERN,Downtown/Civic Center,LIQUOR LAWS,7
NORTHERN,Downtown/Civic Center,LOITERING,4
NORTHERN,Downtown/Civic Center,MISSING PERSON,80
NORTHERN,Downtown/Civic Center,NON-CRIMINAL,581
NORTHERN,Downtown/Civic Center,OTHER OFFENSES,639
NORTHERN,Downtown/Civic Center,PROSTITUTION,1
NORTHERN,Downtown/Civic Center,RECOVERED VEHICLE,24
NORTHERN,Downtown/Civic Center,ROBBERY,140
NORTHERN,Downtown/Civic Center,RUNAWAY,1
NORTHERN,Downtown/Civic Center,SECONDARY CODES,40
NORTHERN,Downtown/Civic Center,"SEX OFFENSES, FORCIBLE",36
NORTHERN,Downtown/Civic Center,"SEX OFFENSES, NON FORCIBLE",1
NORTHERN,Downtown/Civic Center,STOLEN PROPERTY,29
NORTHERN,Downtown/Civic Center,SUICIDE,2
NORTHERN,Downtown/Civic Center,SUSPICIOUS OCC,203
NORTHERN,Downtown/Civic Center,TRESPASS,100
NORTHERN,Downtown/Civic Center,VANDALISM,307
NORTHERN,Downtown/Civic Center,VEHICLE THEFT,164
NORTHERN,Downtown/Civic Center,WARRANTS,265
NORTHERN,Downtown/Civic Center,WEAPON LAWS,37
NORTHERN,Marina,ARSON,4
NORTHERN,Marina,ASSAULT,197
NORTHERN,Marina,BRIBERY,1
NORTHERN,Marina,BURGLARY,184
NORTHERN,Marina,DISORDERLY CONDUCT,9
NORTHERN,Marina,DRIVING UNDER THE INFLUENCE,8
NORTHERN,Marina,DRUG/NARCOTIC,36
NORTHERN,Marina,DRUNKENNESS,14
NORTHERN,Marina,FORGERY/COUNTERFEITING,18
NORTHERN,Marina,FRAUD,64
NORTHERN,Marina,KIDNAPPING,4
NORTHERN,Marina,LARCENY/THEFT,1360
NORTHERN,Marina,LIQUOR LAWS,1
NORTHERN,Marina,LOITERING,3
NORTHERN,Marina,MISSING PERSON,44
NORTHERN,Marina,NON-CRIMINAL,323
NORTHERN,Marina,OTHER OFFENSES,337
NORTHERN,Marina,RECOVERED VEHICLE,8
NORTHERN,Marina,ROBBERY,48
NORTHERN,Marina,SECONDARY CODES,23
NORTHERN,Marina,"SEX OFFENSES, FORCIBLE",12
NORTHERN,Marina,"SEX OFFENSES, NON FORCIBLE",1
NORTHERN,Marina,STOLEN PROPERTY,26
NORTHERN,Marina,SUICIDE,3
NORTHERN,Marina,SUSPICIOUS OCC,90
NORTHERN,Marina,TRESPASS,23
NORTHERN,Marina,VANDALISM,196
NORTHERN,Marina,VEHICLE THEFT,139
NORTHERN,Marina,WARRANTS,91
NORTHERN,Marina,WEAPON LAWS,12
NORTHERN,Mission,DRUG/NARCOTIC,2
NORTHERN,Mission,LARCENY/THEFT,3
NORTHERN,Mission,NON-CRIMINAL,1
NORTHERN,Mission,OTHER OFFENSES,2
NORTHERN,Mission,SUSPICIOUS OCC,2
NORTHERN,Mission,TRESPASS,2
NORTHERN,Mission,VEHICLE THEFT,2
NORTHERN,Mission,WARRANTS,1
NORTHERN,Nob Hill,ASSAULT,86
NORTHERN,Nob Hill,BRIBERY,1
NORTHERN,Nob Hill,BURGLARY,52
NORTHERN,Nob Hill,DISORDERLY CONDUCT,26
NORTHERN,Nob Hill,DRIVING UNDER THE INFLUENCE,6
NORTHERN,Nob Hill,DRUG/NARCOTIC,26
NORTHERN,Nob Hill,DRUNKENNESS,8
NORTHERN,Nob Hill,FORGERY/COUNTERFEITING,8
NORTHERN,Nob Hill,FRAUD,19
NORTHERN,Nob Hill,LARCENY/THEFT,381
NORTHERN,Nob Hill,MISSING PERSON,15
NORTHERN,Nob Hill,NON-CRIMINAL,141
NORTHERN,Nob Hill,OTHER OFFENSES,151
NORTHERN,Nob Hill,PROSTITUTION,109
NORTHERN,Nob Hill,RECOVERED VEHICLE,6
NORTHERN,Nob Hill,ROBBERY,29
NORTHERN,Nob Hill,SECONDARY CODES,8
NORTHERN,Nob Hill,"SEX OFFENSES, FORCIBLE",2
NORTHERN,Nob Hill,STOLEN PROPERTY,12
NORTHERN,Nob Hill,SUICIDE,1
NORTHERN,Nob Hill,SUSPICIOUS OCC,29
NORTHERN,Nob Hill,TRESPASS,38
NORTHERN,Nob Hill,VANDALISM,70
NORTHERN,Nob Hill,VEHICLE THEFT,37
NORTHERN,Nob Hill,WARRANTS,34
NORTHERN,Nob Hill,WEAPON LAWS,8
NORTHERN,North Beach,FRAUD,1
NORTHERN,North Beach,LARCENY/THEFT,6
NORTHERN,North Beach,NON-CRIMINAL,1
NORTHERN,Pacific Heights,ARSON,1
NORTHERN,Pacific Heights,ASSAULT,66
NORTHERN,Pacific Heights,BURGLARY,105
NORTHERN,Pacific Heights,DISORDERLY CONDUCT,1
NORTHERN,Pacific Heights,DRUG/NARCOTIC,25
NORTHERN,Pacific Heights,DRUNKENNESS,3
NORTHERN,Pacific Heights,EMBEZZLEMENT,3
NORTHERN,Pacific Heights,FAMILY OFFENSES,1
NORTHERN,Pacific Heights,FORGERY/COUNTERFEITING,12
NORTHERN,Pacific Heights,FRAUD,41
NORTHERN,Pacific Heights,LARCENY/THEFT,492
NORTHERN,Pacific Heights,LOITERING,2
NORTHERN,Pacific Heights,MISSING PERSON,32
NORTHERN,Pacific Heights,NON-CRIMINAL,146
NORTHERN,Pacific Heights,OTHER OFFENSES,182
NORTHERN,Pacific Heights,RECOVERED VEHICLE,7
NORTHERN,Pacific Heights,ROBBERY,28
NORTHERN,Pacific Heights,SECONDARY CODES,14
NORTHERN,Pacific Heights,"SEX OFFENSES, FORCIBLE",9
NORTHERN,Pacific Heights,STOLEN PROPERTY,12
NORTHERN,Pacific Heights,SUICIDE,3
NORTHERN,Pacific Heights,SUSPICIOUS OCC,57
NORTHERN,Pacific Heights,TRESPASS,16
NORTHERN,Pacific Heights,VANDALISM,87
NORTHERN,Pacific Heights,VEHICLE THEFT,86
NORTHERN,Pacific Heights,WARRANTS,27
NORTHERN,Pacific Heights,WEAPON LAWS,7
NORTHERN,Presidio,BURGLARY,1
NORTHERN,Presidio,FORGERY/COUNTERFEITING,1
NORTHERN,Presidio,LARCENY/THEFT,6
NORTHERN,Presidio,SUSPICIOUS OCC,1
NORTHERN,Presidio,VEHICLE THEFT,2
NORTHERN,Presidio,WARRANTS,1
NORTHERN,Russian Hill,ASSAULT,55
NORTHERN,Russian Hill,BURGLARY,24
NORTHERN,Russian Hill,DISORDERLY CONDUCT,1
NORTHERN,Russian Hill,DRUG/NARCOTIC,9
NORTHERN,Russian Hill,DRUNKENNESS,4
NORTHERN,Russian Hill,FORGERY/COUNTERFEITING,1
NORTHERN,Russian Hill,FRAUD,15
NORTHERN,Russian Hill,KIDNAPPING,1
NORTHERN,Russian Hill,LARCENY/THEFT,157
NORTHERN,Russian Hill,MISSING PERSON,8
NORTHERN,Russian Hill,NON-CRIMINAL,84
NORTHERN,Russian Hill,OTHER OFFENSES,105
NORTHERN,Russian Hill,RECOVERED VEHICLE,2
NORTHERN,Russian Hill,ROBBERY,10
NORTHERN,Russian Hill,RUNAWAY,2
NORTHERN,Russian Hill,SECONDARY CODES,12
NORTHERN,Russian Hill,"SEX OFFENSES, FORCIBLE",10
NORTHERN,Russian Hill,STOLEN PROPERTY,6
NORTHERN,Russian Hill,SUICIDE,1
NORTHERN,Russian Hill,SUSPICIOUS OCC,15
NORTHERN,Russian Hill,TRESPASS,3
NORTHERN,Russian Hill,VANDALISM,37
NORTHERN,Russian Hill,VEHICLE THEFT,36
NORTHERN,Russian Hill,WARRANTS,16
NORTHERN,Russian Hill,WEAPON LAWS,4
NORTHERN,South of Market,ASSAULT,13
NORTHERN,South of Market,DISORDERLY CONDUCT,1
NORTHERN,South of Market,DRUG/NARCOTIC,3
